Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18562,1/12/2021,St. John's Jesuit High School & Academy,Electronic,,7,Yes,,,,Yes,,
18563,1/12/2021,"SouthBeachSmoke.com, Vaporfi.com & Directvapor.com",Electronic,Yes,82,,,,Yes,,,
18564,1/12/2021,"J.V. Dell, PC",Electronic,Yes,4,Yes,,,,Yes,,
18565,1/12/2021,Main Street Bank,Electronic,,2,,,,Yes,,,
18566,1/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18568,1/12/2021,Country Bank,Paper,Yes,875,,Yes,,,,,
18709,1/12/2021,Bay Cove Human Services,Electronic,,11,,,,,Yes,,
18569,1/13/2021,Gann Academy The New Jewish High School of Greater Boston,Electronic,,257,Yes,,,,Yes,,
18570,1/13/2021,"U.S. Bank, N.A.",Electronic,,1,Yes,Yes,Yes,,Yes,,
18507,1/13/2021,The Frederick Gunn School,Electronic,,13,Yes,,,,Yes,,
18624,1/13/2021,Waters & Kraus LLP,Electronic,Yes,231,Yes,,Yes,,Yes,,
18625,1/13/2021,ZOLL Medical,Electronic,Yes,55,Yes,,,,Yes,,Yes
18626,1/13/2021,"Coastal Equities, Inc",Electronic,,3,Yes,,,,Yes,,
18627,1/13/2021,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
18617,1/14/2021,"Spinnaker Management Group, LLC",Electronic,Yes,30,Yes,Yes,,,Yes,,
18618,1/14/2021,"E.R. Snell Contractor, Inc",Electronic,Yes,1,Yes,,,,Yes,,
18619,1/14/2021,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,
18620,1/14/2021,Terra Foundation for American Art,Electronic,,3,Yes,Yes,,,Yes,,
18621,1/14/2021,Dana Hall School,Electronic,,2,Yes,,,,Yes,,
18622,1/14/2021,Salem Five Cents Savings Bank,Paper,,1,,Yes,,,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18623,1/14/2021,"American Express Travel Related Services Company, Inc.",Electronic,,1629,,,,Yes,,,
25793,1/14/2021,"DCU Financial Insurance Services, LLC",Electronic,,1,,,Yes,,Yes,,
18607,1/15/2021,Krapf Group,Electronic,Yes,3,Yes,,,,Yes,,
18608,1/15/2021,"Moss, Inc.",Electronic,Yes,2,,,,Yes,,,
18609,1/15/2021,Mattapan Community Health Center,Electronic,Yes,1,Yes,,,,,,
18610,1/15/2021,Benedictine Abbey of Newark a/k/a St. Benedict's Preparatory School,Electronic,,1,Yes,,,,Yes,,
18611,1/15/2021,Massachusetts Department of Unemployment Assistance,Electronic,Yes,5,Yes,,,,Yes,,
18612,1/15/2021,The Newark Museum of Art,Electronic,Yes,4,Yes,Yes,,,Yes,,
18613,1/15/2021,Rockland Trust,Paper,Yes,2,,Yes,,,Yes,,
18614,1/15/2021,Rockland Trust,Paper,Yes,2,,Yes,,,Yes,,
18615,1/15/2021,"JPMorgan Chase Bank, N.A.",Both,Yes,2,,Yes,Yes,,Yes,,
18616,1/15/2021,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
18605,1/18/2021,"ALE Solutions, Inc.",Electronic,Yes,423,Yes,,,,Yes,,
18606,1/18/2021,"Charm Sciences, Inc.",Electronic,Yes,336,Yes,,,,Yes,,
18600,1/19/2021,"Village of New Lexington, Ohio",Electronic,Yes,2,Yes,,Yes,,Yes,,
18601,1/19/2021,Staten Island Academy,Electronic,,2,Yes,,,,Yes,,
18602,1/19/2021,The Village Bank,Electronic,,1,,,,Yes,,,
18603,1/19/2021,New York Legal Assistance Group,Electronic,Yes,13,Yes,Yes,Yes,Yes,Yes,,
18604,1/19/2021,Helen Keller International,Electronic,,1,,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18596,1/20/2021,Apple Inc.,Paper,,4,,,,Yes,Yes,,
18597,1/20/2021,Father Bill's & Mainspring,Electronic,Yes,303,Yes,Yes,Yes,,Yes,,
18598,1/20/2021,"Asheville School, Inc",Electronic,,5,Yes,,,,Yes,,
18599,1/20/2021,Fairmont Private School,Electronic,,1,Yes,,,,Yes,,
18576,1/20/2021,Main Street Bank,Electronic,,1,,,,Yes,,,
18577,1/20/2021,ACRES Capital  Debit Opportunity Fund L.P.,Electronic,,2,Yes,Yes,,,Yes,,
18578,1/20/2021,Eastern Bank,Electronic,,152,,,,Yes,,,
18579,1/20/2021,Arbour Counseling Services,Paper,Yes,1,,,,,,,
17744,1/20/2021,Main Street Bank,Electronic,,1,,,,Yes,Yes,,
18571,1/20/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18572,1/20/2021,UFCW Local 1776,Electronic,Yes,2,Yes,,,,Yes,,
18573,1/20/2021,American Civil Liberties Union of Massachusetts,Electronic,Yes,3,Yes,,,,,,
18580,1/21/2021,"Simpsoon Senior Services, Inc.",Paper,Yes,3,Yes,,,,Yes,,
18581,1/21/2021,"DJO Global, Inc.",Electronic,Yes,6,Yes,Yes,Yes,Yes,Yes,,
18586,1/21/2021,Kantar LLC,Electronic,Yes,4,Yes,,,,Yes,,
18587,1/21/2021,Allstate Insurance Company,Electronic,Yes,1,,,Yes,,Yes,,
18588,1/21/2021,Weleyan Christian Academy,Electronic,,4,Yes,,,,Yes,,
18589,1/21/2021,"American Bank Systems, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
18590,1/21/2021,The Village Bank,Electronic,,2,,,,Yes,,,
18591,1/21/2021,St. Paul's School,Electronic,,814,Yes,,,,Yes,,
18592,1/21/2021,"Direct Energy LP, together w/ its affiliates First Choice Power, LLC & Home Warranty of America Inc.",Electronic,,655,Yes,Yes,,Yes,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18593,1/21/2021,BSH Home Appliances Corp,Paper,Yes,11,,,,Yes,Yes,,
18594,1/21/2021,St. Mary's Credit Union,Electronic,,4,,,,Yes,,,
18595,1/21/2021,South Georgia Bank,Electronic,,3,Yes,Yes,,,Yes,,
18575,1/21/2021,Main Street Bank,Electronic,,1,,,,Yes,,,
18666,1/21/2021,First Bank & Trust,Electronic,,3,Yes,,,,Yes,,
18663,1/22/2021,Clarus Corporation,Electronic,Yes,10,Yes,,,,Yes,,
18664,1/22/2021,Lenox Advisors,Electronic,Yes,19,Yes,Yes,Yes,,Yes,,
18665,1/22/2021,Landon School Corporation,Electronic,,16,Yes,,,,Yes,,
18582,1/22/2021,ConvenientMD Urgent Care,Electronic,Yes,35,,,,,,,
18583,1/22/2021,UBS Financial Services Inc.,Electronic,Yes,9,Yes,Yes,,,Yes,,
18584,1/22/2021,New Hampton School,Electronic,,364,Yes,,,,Yes,,
18585,1/22/2021,"T2 US, LLC",Electronic,,2,Yes,Yes,,,Yes,,
18628,1/22/2021,"Master Halco, Inc.",Electronic,Yes,7,Yes,Yes,Yes,Yes,Yes,,
18629,1/22/2021,Webster Five Cents Savings Bank,Electronic,,19,,,,Yes,,,
18630,1/22/2021,"Leon Medical Centers, LLC",Electronic,Yes,1,Yes,,,,Yes,,
18631,1/22/2021,Principal Life Insurance Company,Electronic,Yes,2,,Yes,,,,,
18632,1/22/2021,Abington Friends School,Electronic,,4,Yes,,,,Yes,,
18633,1/22/2021,"Cygilant, Inc.",Electronic,Yes,229,Yes,Yes,Yes,Yes,Yes,,
18634,1/22/2021,TrustLawyer LLC,Electronic,Yes,3,Yes,,,,Yes,,
18574,1/22/2021,Christy Sports LLC,Electronic,,103,,,,Yes,,,
18518,1/22/2021,"Arrow Truck Sales, Inc.",Electronic,Yes,68,Yes,,,,Yes,,
18662,1/24/2021,"Inroads, Inc.",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18648,1/25/2021,Communications Workers of America,Electronic,Yes,297,Yes,,,,Yes,,
18658,1/25/2021,National Western Life Insurance Company,Electronic,Yes,2416,Yes,Yes,,Yes,Yes,,
18659,1/25/2021,Sher Tremonte LLP,Electronic,Yes,5,Yes,Yes,Yes,Yes,Yes,,
18660,1/25/2021,Massachusetts Mutual Life Insurance Company,Paper,,1,Yes,,Yes,,Yes,,
18661,1/25/2021,The Fallon Company LLC,Electronic,Yes,22,Yes,Yes,Yes,,Yes,,
18651,1/26/2021,thyssenkrupp Materials,Electronic,Yes,474,Yes,Yes,,,Yes,,
18652,1/26/2021,Shorecrest Preparatory School,Electronic,,4,Yes,,,,Yes,,
18653,1/26/2021,Puget Sound Educational Service District,Electronic,Yes,1,Yes,,,,Yes,,
18654,1/26/2021,SapphireFoxxBeyond.com,Electronic,Yes,34,,,,Yes,,,
18655,1/26/2021,Houston SPCA,Electronic,,17,,Yes,,,,,
18656,1/26/2021,"Bosley, Inc.",Electronic,Yes,1727,Yes,Yes,Yes,Yes,Yes,,
18657,1/26/2021,Chemstation International Inc.,Electronic,,4,,Yes,,Yes,,,
18635,1/26/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18636,1/26/2021,"TPG Advisors, LLC",Electronic,Yes,34,Yes,,Yes,,Yes,,
18637,1/26/2021,Spaulding Rehabilitation Network,Electronic,Yes,1,,,,,Yes,,
18638,1/26/2021,The Cooperative Bank of Cape Cod,Electronic,,168,,,,Yes,,,
18639,1/26/2021,Mutual one Bank,Electronic,,1,,,,Yes,,,
18640,1/26/2021,Mutual one Bank,Electronic,,1,,,,Yes,,,
18641,1/26/2021,Mutual one Bank,Electronic,,1,,,,Yes,,,
18642,1/26/2021,Mutual one Bank,Electronic,,1,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18643,1/26/2021,Mutual one Bank,Electronic,,1,,,,Yes,,,
18644,1/26/2021,Main Street Bank,Electronic,,1,,,,Yes,,,
18645,1/26/2021,Main Street Bank,Electronic,,4,,,,Yes,,,
18646,1/26/2021,SN Servicing Corporation,Electronic,Yes,136,,Yes,,,Yes,,
18647,1/26/2021,McLean Hospital,Undefined,Yes,1,,,,,Yes,,
18649,1/27/2021,SAVERS BANK,Electronic,,1,,,,Yes,,,
18650,1/27/2021,SAVERS BANK,Electronic,,1,,,,Yes,,,
18667,1/27/2021,American Frame Corporation,Electronic,Yes,1381,Yes,,,Yes,,,
18701,1/27/2021,Oldfields School,Electronic,,13,,Yes,,,Yes,,
18702,1/27/2021,The Trustees of the Stevens Institute of Technology,Electronic,,2,,Yes,,,,,
18703,1/27/2021,WINCHESTER SAVINGS BANK,Electronic,,2,,,,Yes,,,
18704,1/27/2021,WINCHESTER SAVINGS BANK,Electronic,,6,,,,Yes,,,
18705,1/27/2021,Diversified Gas & Oil Corporation,Electronic,Yes,135,Yes,,,,Yes,,
18706,1/27/2021,"DiPrete Engineering Associates, Inc.",Electronic,Yes,1,,,Yes,,Yes,,
18707,1/27/2021,"Auris Health, Inc.",Electronic,Yes,14,Yes,Yes,,,Yes,,
18696,1/28/2021,"Associated Foreign Exchange, Inc.",Electronic,Yes,20,Yes,Yes,Yes,,Yes,,
18697,1/28/2021,Young & Borlik Architects,Electronic,Yes,2,,Yes,,,Yes,,
18698,1/28/2021,"Citibank, N.A.",Both,Yes,2,,Yes,,,,,
18699,1/28/2021,St. Andrew's-Sewanee School,Electronic,,10,Yes,,,,Yes,,
18700,1/28/2021,"American Express Travel Related Services Company, Inc",Electronic,,24,,,,Yes,,,
25891,1/28/2021,Carnegie Hill Endoscopy LLC,Paper,Yes,1,,,,,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18682,1/29/2021,Universal Logistics Holdings,Electronic,Yes,30,Yes,,Yes,,Yes,,
18683,1/29/2021,Victory Innovations,Electronic,,3,Yes,,,,Yes,,
18684,1/29/2021,"Richard A. Berger, MD",Electronic,Yes,3,Yes,,,,Yes,,
18685,1/29/2021,Carmel Clay Parks & Recreation,Electronic,Yes,2,Yes,,,,Yes,,
18686,1/29/2021,Colgate Rochester Crozer Divinity School,Electronic,,6,Yes,,,,Yes,,
18687,1/29/2021,San Francisco Conservatory of Music,Electronic,,34,Yes,,,,Yes,,
18688,1/29/2021,"Lynn Community Health, Inc.",Electronic,Yes,1800,Yes,,,,Yes,,
18689,1/29/2021,The Village Bank,Electronic,,3,,,,Yes,,,
18690,1/29/2021,Avantax Wealth Management,Paper,,4,Yes,Yes,,,Yes,,
18691,1/29/2021,The Mid-America Management Corporation,Electronic,Yes,5,Yes,,,,Yes,,
18692,1/29/2021,"Wind River Systems, Inc.",Electronic,Yes,308,Yes,,Yes,,Yes,,
18693,1/29/2021,Rockland Trust,Paper,Yes,2,,Yes,,,Yes,,
18694,1/29/2021,WINCHESTER SAVINGS BANK,Electronic,,3,,,,Yes,,,
18695,1/29/2021,Salem Five Cents Savings Bank,Electronic,,9,,,,Yes,,,
18675,2/1/2021,Hebron Academy,Electronic,,33,Yes,,,,Yes,,
18676,2/1/2021,The Abaco Club on Winding Bay,Electronic,Yes,6,,,,Yes,,,
18677,2/1/2021,Brotherhood's Relief & Compensation Fund,Electronic,Yes,590,Yes,Yes,,,Yes,,
18678,2/1/2021,Gonzaga University,Electronic,Yes,2,Yes,,,,,,
18679,2/1/2021,St. Mary's Credit Union,Electronic,,2,,,,Yes,,,
18680,2/1/2021,Evangelical Presbyterian Church,Electronic,,1,Yes,,,,Yes,,
18681,2/1/2021,Eagle Bank,Electronic,,9,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18669,2/2/2021,Porter & Curtis LLC,Electronic,,39,,,Yes,,,,
18670,2/2/2021,"Glatt, Maney, Kling & Rufer, CPAs P.C.",Electronic,Yes,76,Yes,,,,Yes,,
18671,2/2/2021,"Warehouse Services, Inc.",Electronic,Yes,1,Yes,Yes,,,Yes,,
18672,2/2/2021,SAVERS BANK,Electronic,,1,,,,Yes,,,
18673,2/2/2021,Reliant Federal Credit Union,Electronic,Yes,4,Yes,Yes,,,Yes,,
18674,2/2/2021,Ardent Credit Union,Electronic,Yes,296,Yes,Yes,Yes,,Yes,,
18711,2/2/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18713,2/2/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18714,2/2/2021,"Siskind Susser, PC",Electronic,Yes,3,Yes,,Yes,,Yes,,
18715,2/2/2021,Robert Half International Inc.,Electronic,Yes,1,Yes,,,,Yes,,
18716,2/3/2021,"Carparts.com f/k/a U.S. Auto Parts Network, Inc.",Electronic,Yes,12,Yes,,Yes,,Yes,,
18717,2/3/2021,Lutheran High School Association of Nassau & Suffolk Counties,Electronic,,5,Yes,,,,Yes,,
18712,2/3/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18710,2/3/2021,Main Street Bank,Electronic,,1,,,,Yes,,,
18708,2/3/2021,Dedham Savings,Paper,Yes,1,,Yes,,,,,
18668,2/3/2021,"U.S. Bank, N.A.",Electronic,Yes,9,Yes,,,,Yes,,
18753,2/3/2021,New Canaan Country School,Electronic,,15,Yes,,,,Yes,,
18749,2/4/2021,Faith Bible Church,Electronic,Yes,1,Yes,,,,Yes,,
18750,2/4/2021,City of Philadelphia,Electronic,Yes,43,Yes,,Yes,,Yes,,
18751,2/4/2021,The Lamplighter School,Electronic,,4,Yes,,,,Yes,,
18752,2/4/2021,Watertown Savings Bank,Electronic,,8,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18737,2/5/2021,"Simms Fishing Products, LLC",Electronic,Yes,48,,,,Yes,,,
18738,2/5/2021,The Bostwick-Braun Company,Electronic,Yes,5,,,Yes,,Yes,,
18739,2/5/2021,"Carvana, LLC",Electronic,Yes,1,,,Yes,,Yes,,
18740,2/5/2021,Sunrise Global Marketing LLC d/b/a Greenworks Tools,Electronic,Yes,3,,,,Yes,,,
18741,2/5/2021,Cape Cod Five,Electronic,,2,,Yes,,Yes,,,
18742,2/5/2021,Syracuse University,Electronic,Yes,829,Yes,,,,Yes,,
18743,2/5/2021,"Great Clips, Inc.",Electronic,Yes,2,Yes,,,,Yes,,
18744,2/5/2021,"Ameriprise Financial, Inc",Paper,Yes,2,Yes,Yes,,,Yes,,
18745,2/5/2021,US Claims Capital LLC,Electronic,Yes,76,Yes,Yes,,,Yes,,
18746,2/5/2021,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,
18747,2/5/2021,"Koch Industries, Inc",Electronic,Yes,1,Yes,,,,Yes,,
18748,2/5/2021,Rockland Trust,Both,Yes,1,,Yes,,,Yes,,
18736,2/6/2021,"The Honey Baked Ham Company, LLC",Electronic,Yes,1229,Yes,Yes,,,Yes,,
18718,2/8/2021,"Giles Automotive, Inc.",Electronic,Yes,2,,,,,Yes,,
18719,2/8/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18720,2/8/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18721,2/8/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18722,2/8/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18723,2/8/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18724,2/8/2021,"Town of Ludlow, Massachusetts",Electronic,Yes,1153,,,,,Yes,,
18730,2/8/2021,Commonwealth Financial Network,Paper,Yes,1,Yes,Yes,,,Yes,,
