Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
16370,1/21/2020,Main Street Bank,Electronic,,46,,,,Yes,,,
16371,1/21/2020,Braintrust Software LLC dba The Braintrust Consulting Group,Electronic,Yes,2,,,,Yes,,,
16372,1/21/2020,Mutual One Bank,Electronic,,7,,,,Yes,,,
16374,1/21/2020,"Sunshine Behavioral Health Group, LLC",Electronic,Yes,56,,Yes,,Yes,Yes,,
16378,1/21/2020,St Mary's Credit Union,Electronic,,1,,,,Yes,,,
16379,1/22/2020,Dedham Savings,Electronic,,1,,,,Yes,,,
16380,1/22/2020,Dedham Savings,Electronic,,3,,,,Yes,,,
16381,1/22/2020,Dedham Savings,Electronic,,1,,,,Yes,,,
16382,1/22/2020,Dedham Savings,Electronic,,2,,,,Yes,,,
16383,1/22/2020,Dedham Savings,Electronic,,37,,,,Yes,,,
16384,1/22/2020,Dedham Savings,Electronic,,64,,,,Yes,,,
16386,1/22/2020,The Village Bank,Electronic,,46,,,,Yes,,,
16387,1/22/2020,"Transamerica, LLC and its affiliates",Electronic,,11,Yes,,,,Yes,,
16388,1/22/2020,The Village Bank,Electronic,,4,,,,Yes,,,
16389,1/22/2020,Rockland Trust Company,Paper,,1,,Yes,,,Yes,,
16390,1/22/2020,"REVA, Inc.",Electronic,Yes,7,Yes,,,,Yes,,
16391,1/22/2020,Rosen Sapperstein & Friedlander LLC,Electronic,Yes,1,Yes,,,,Yes,,
16395,1/22/2020,Lincoln National Life Insurance Company,Electronic,Yes,87,Yes,,,,Yes,,
16375,1/22/2020,"American Express Travel Related Services Company, Inc.",Electronic,,10,,,,Yes,,,
16376,1/22/2020,ST MARYS CREDIT UNION,Electronic,,50,,,,Yes,,,
16385,1/23/2020,Dedham Savings,Electronic,,1,,,,Yes,,,
16392,1/24/2020,Salem Five Cents Savings Bank,Electronic,,2,,,,Yes,,,
16393,1/24/2020,PeoplesBank,Paper,Yes,1,Yes,Yes,,,Yes,,
16394,1/24/2020,Discover Financial Services,Electronic,,1,Yes,Yes,,,Yes,,
16403,1/24/2020,"Travel Tripper, LLC",Electronic,Yes,1,,,,Yes,Yes,,
16396,1/24/2020,WINCHESTER SAVINGS BANK,Electronic,,1,,,,Yes,,,
16397,1/24/2020,St. Marys Credit Union,Electronic,,3,,,,Yes,,,
16398,1/24/2020,Main Street Bank,Electronic,,1,,,,Yes,,,
16399,1/24/2020,"AmeriHealth Caritas Louisiana, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
16400,1/24/2020,Pacific Specialty Insurance Company,Electronic,Yes,1,Yes,,Yes,,Yes,,
16402,1/26/2020,NBKC Bank,Electronic,Yes,24,Yes,Yes,,,Yes,,
16401,1/27/2020,"American Express Travel Related Services Company, Inc",Electronic,,5,,,,Yes,,,
16404,1/27/2020,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,
16405,1/27/2020,The Village Bank,Electronic,,1,,,,Yes,,,
16406,1/27/2020,Main Street Bank,Electronic,,66,,,,Yes,,,
16411,1/27/2020,Allways Health Partners,Paper,Yes,8,,,,,Yes,,
16407,1/28/2020,St. Marys Credit Union,Electronic,,1,,,,Yes,,,
16408,1/28/2020,Stone Mountain Memorial Association,Electronic,Yes,1,Yes,,,,Yes,,
16409,1/29/2020,Rockland Trust Co,Paper,Yes,2,,Yes,,,Yes,,
16410,1/29/2020,Main Street Bank,Electronic,,2,,,,Yes,,,
16427,1/29/2020,The Stow Company,Electronic,Yes,4,Yes,,,,Yes,,
16424,1/30/2020,New Studio Architecture,Electronic,Yes,3,Yes,Yes,,,Yes,,
16419,1/30/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16420,1/30/2020,Commonwealth of Massachusetts Department of Revenue,Paper,Yes,22,Yes,Yes,,,Yes,,
16421,1/30/2020,"Rainbow Finance, LLC",Electronic,Yes,9,Yes,Yes,Yes,,Yes,,
16412,1/30/2020,Ameriprise Financial Inc.,Electronic,Yes,2,Yes,,,,Yes,,
16413,1/30/2020,"Massey Services, Inc.",Electronic,Yes,21,Yes,Yes,Yes,,Yes,,
16414,1/30/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16415,1/30/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16416,1/30/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16417,1/30/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16422,1/31/2020,"American Express Travel Related Services Company, Inc",Electronic,,1,,,,Yes,,,
16423,1/31/2020,Public Storage,Electronic,Yes,1,,,,Yes,,,
16425,1/31/2020,Patriot Community Bank,Paper,Yes,126,Yes,Yes,,,Yes,,
16426,1/31/2020,"William Rawn Associates, Architects, Inc.",Electronic,Yes,20,Yes,Yes,Yes,Yes,Yes,,
16428,1/31/2020,Webster Five Cents Savings Bank,Electronic,,4,,,,Yes,,,
16429,1/31/2020,Salem Five Cents Savings Bank,Electronic,,3,,,,Yes,,,
16430,1/31/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16441,1/31/2020,St Marys Credit Union,Electronic,,1,,,,Yes,,,
16442,1/31/2020,UniBank for Savings,Paper,,2,,Yes,,,,,
16433,1/31/2020,"Golden Entertainment, Inc.",Electronic,Yes,10,Yes,,Yes,Yes,Yes,,
16434,1/31/2020,Rockland Trust Company,Paper,Yes,2,,Yes,,,Yes,,
16432,2/2/2020,"Fellowship Health Resources, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
16431,2/3/2020,Winchester Savings Bank,Electronic,,3,,Yes,,Yes,,,
16435,2/3/2020,Vinfen Corporation,Paper,Yes,1,Yes,,,,Yes,,
16436,2/3/2020,The Village Bank,Electronic,,5,,,,Yes,,,
16437,2/3/2020,Jackson National Life Insurance Company,Paper,Yes,5,,Yes,,,,,
16438,2/3/2020,"Peabody Properties, Inc.",Paper,Yes,9,Yes,,,,Yes,,
16439,2/3/2020,American First Finance Inc.,Electronic,Yes,4,Yes,Yes,Yes,,Yes,,
16440,2/3/2020,Executive Office of Health & Human Services Office of Medicaid,Paper,,1,Yes,,,,,,
16443,2/4/2020,The Village Bank,Electronic,,1,,,,Yes,,,
16444,2/4/2020,Deaf Services Unlimited,Electronic,,23,Yes,Yes,,,Yes,,
16445,2/4/2020,Personal Touch Holding Corp.,Electronic,,8468,Yes,,Yes,,Yes,,
16446,2/5/2020,Watertown Savings Bank,Electronic,,34,,,,Yes,,,
16447,2/5/2020,"E.T. Kelly & Associates, LLC",Electronic,Yes,1,Yes,,,,Yes,,
16449,2/5/2020,"Hanna Andersson, LLC",Electronic,,12405,,Yes,,,Yes,,
16450,2/5/2020,Bank of America,Paper,,2,Yes,Yes,,,Yes,,
16451,2/6/2020,"Capital One, N.A.",Electronic,Yes,13,Yes,,,Yes,Yes,,
16452,2/6/2020,"Altice USA, Inc",Electronic,Yes,52,Yes,,Yes,,Yes,,
16453,2/6/2020,Lightspeed Technologies Inc.,Electronic,Yes,1,Yes,,,,Yes,,
16454,2/6/2020,"Heritage Insurance Service, Inc.",Electronic,Yes,5,Yes,,Yes,,Yes,,
16455,2/7/2020,"Stock & Option Solutions, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
16456,2/7/2020,National Academy of Sciences,Electronic,Yes,5,Yes,,,,Yes,,
16457,2/7/2020,Conduent HR Services LLC,Electronic,Yes,8,Yes,Yes,,,Yes,,
16459,2/7/2020,Barnhill Contracting Company,Electronic,Yes,2,Yes,,,,Yes,,
16460,2/7/2020,Nelnet,Paper,Yes,1,,Yes,,,,,
16461,2/10/2020,St. Mary's Credit Union,Electronic,,2,,,,Yes,,,
16462,2/10/2020,Idaho Central Credit Union,Electronic,,3,Yes,Yes,,,Yes,,
16463,2/10/2020,Main Street Bank,Electronic,,1,,,,Yes,,,
16464,2/10/2020,Eastern Bank,Electronic,,1405,,,,Yes,,,
16466,2/10/2020,"Novo Nordisk, Inc.",Electronic,,6,Yes,,,Yes,Yes,,
16458,2/10/2020,The Village Bank,Electronic,,1,,,,Yes,,,
16467,2/11/2020,Winchester Savings Bank,Paper,,5,,Yes,,Yes,,,
16468,2/11/2020,"Group O, Inc.",Paper,Yes,7,Yes,,,,Yes,,
16469,2/11/2020,Gordon Feinblatt LLC,Electronic,Yes,2,Yes,,Yes,,Yes,,
16465,2/11/2020,"American Express Travel Related Services Company, Inc",Electronic,,2,,,,Yes,,,
16470,2/12/2020,The Village Bank,Electronic,,2,,,,Yes,,,
16471,2/12/2020,"American Express Travel Related Services Company, Inc.",Electronic,,6,,,,Yes,,,
16472,2/12/2020,The Lincoln National Life Insurance Company,Electronic,Yes,1,Yes,,,,Yes,,
16473,2/12/2020,"American Express Travel Related Services Company, Inc.",Both,,3,,,,Yes,,,
16474,2/12/2020,Terlato Wine Group,Electronic,Yes,9,Yes,,Yes,,Yes,,
16418,2/12/2020,"Kabbage, Inc.",Electronic,Yes,2,Yes,Yes,,,Yes,,
16475,2/13/2020,Salem Five Cents Savings Bank,Electronic,,5,,,,Yes,,,
16476,2/13/2020,"American Express Travel Related Services Company, Inc.",Electronic,,6,,,,Yes,,,
16477,2/13/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16478,2/13/2020,Savers Bank,Electronic,,1,,,,Yes,,,
16479,2/13/2020,Savers Bank,Electronic,,2,,,,Yes,,,
16480,2/13/2020,Phoenix Children's Hospital,Electronic,Yes,1,Yes,,,,Yes,,
16481,2/14/2020,Savers Bank,Electronic,,1,,,,Yes,,,
16482,2/14/2020,Alfred University,Electronic,Yes,1,Yes,,,,Yes,,
16483,2/14/2020,Webster Five Cents Savings Bank,Electronic,,38,,,,Yes,,,
16484,2/14/2020,H&R Block LLC,Electronic,Yes,2,Yes,,,,Yes,,
16485,2/14/2020,Shields Health Solutions,Electronic,Yes,1,Yes,,,,Yes,,
16486,2/14/2020,Savers Bank,Electronic,,26,,,,Yes,,,
16487,2/14/2020,Savers bank,Electronic,,1,,,,Yes,,,
16488,2/14/2020,Savers Bank,Electronic,,53,,,,Yes,,,
16489,2/14/2020,East Boston Savings Bank,Paper,Yes,,,Yes,,,,,
16490,2/14/2020,Nantucket Cottage Hospital,Electronic,Yes,1,Yes,,,,Yes,,
16496,2/14/2020,"Wells Fargo Bank, N.A.",Electronic,Yes,2,,Yes,,,Yes,,
16497,2/14/2020,"NCH Healthcare System, Inc.",Electronic,Yes,34,Yes,Yes,,,Yes,,
16493,2/14/2020,Sales Benchmark Index,Electronic,Yes,10,Yes,Yes,,,Yes,,
16494,2/14/2020,Aveanna Healthcare,Electronic,Yes,4084,Yes,Yes,Yes,,Yes,,
16495,2/16/2020,Town of Ashburnham,Paper,Yes,24,Yes,,,,Yes,,
16491,2/17/2020,"TrueDialog, Inc.",Electronic,Yes,5,Yes,,Yes,,Yes,,
16492,2/17/2020,Baystate Medical Center,Paper,Yes,1,Yes,,,,Yes,,
16498,2/18/2020,First Heartland,Electronic,Yes,6,Yes,,Yes,,Yes,,
16499,2/18/2020,East House Corporation,Electronic,Yes,1,Yes,,,,Yes,,
16500,2/18/2020,Nippon Life Insurance Company of America,Electronic,Yes,1,,Yes,,,Yes,,
16501,2/19/2020,Heska Corporation,Electronic,Yes,3,Yes,,Yes,Yes,Yes,,
16502,2/19/2020,Tablet Inc.,Electronic,Yes,25,,,,Yes,Yes,,
16504,2/19/2020,"American Express Travel Related Services Company, Inc.",Electronic,,491,,,,Yes,,,
16505,2/19/2020,"Advocate Aurora Health (""AAH"")",Electronic,Yes,65,Yes,Yes,,,Yes,,
16506,2/19/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16507,2/19/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16508,2/19/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16509,2/19/2020,ENGIE North America Inc.,Paper,Yes,3,Yes,,,,Yes,,
16510,2/19/2020,Insurance Recovery Group,Electronic,Yes,304,Yes,,Yes,,Yes,,
16511,2/19/2020,"ADP, LLC",Electronic,Yes,121,Yes,,,,Yes,,
16517,2/19/2020,The Commonwealth of Massachusetts Department of Revenue,Paper,Yes,8,Yes,,,,Yes,,
16512,2/20/2020,"JPMorgan Chase Bank, N.A",Electronic,Yes,1,,Yes,,,,,
16513,2/20/2020,"Frobenius, Conaway & Company, P.C.",Electronic,Yes,11,Yes,Yes,,,Yes,,
16514,2/20/2020,Dedham Savings,Paper,Yes,2,,Yes,,,,,
16515,2/20/2020,Mr. Richard DeMaria of Wealth Capital Group,Electronic,Yes,1,,Yes,,,Yes,,
16520,2/20/2020,The Hanover Insurance Company,Electronic,Yes,100,Yes,Yes,Yes,,Yes,,
16521,2/21/2020,The Independent Order of Foresters,Paper,Yes,1,Yes,,,,Yes,,
16522,2/21/2020,The Village Bank,Electronic,,1,,,,Yes,,,
16523,2/21/2020,Pacific Guardian Life Insurance Company Limited,Electronic,Yes,19,Yes,,,,Yes,,
16524,2/21/2020,Covestro LLC,Electronic,Yes,153,Yes,,,,Yes,,
16526,2/21/2020,"Nesnah Ventures, LLC",Electronic,Yes,2,,Yes,,,,,
16516,2/21/2020,"Central Research, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
16518,2/21/2020,Digital Federal Credit Union,Paper,Yes,1,Yes,,,,Yes,,
16519,2/21/2020,Digital Federal Credit Union,Paper,,1,,,,,,,
16528,2/21/2020,Urban Alliance Foundation,Electronic,Yes,2,,Yes,,Yes,Yes,,
16529,2/21/2020,"Lancaster Archery Supply, Inc.",Electronic,Yes,100,,,,Yes,Yes,,
16530,2/21/2020,"WESCO Distribution, Inc.",Electronic,Yes,21,Yes,Yes,,,Yes,,
16527,2/22/2020,Prominent Title Agency,Electronic,Yes,2,Yes,,,,Yes,,
16525,2/22/2020,"Tanglewood Manor, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
16531,2/24/2020,Boston College High School,Electronic,Yes,592,Yes,Yes,Yes,Yes,Yes,,
16532,2/24/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16533,2/24/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16534,2/24/2020,"Apps Associates Holdings, LLC",Electronic,Yes,147,Yes,Yes,,,Yes,,
16535,2/24/2020,"Straub Collaborative, Inc.",Paper,Yes,2,Yes,,,,Yes,,
16536,2/25/2020,MediaRadar,Electronic,Yes,8,Yes,,Yes,,Yes,,
16537,2/25/2020,"Nextenture, Inc.",Electronic,Yes,10,Yes,,,,Yes,,
16538,2/25/2020,County of Berks,Electronic,Yes,1,Yes,,,,Yes,,
16539,2/25/2020,Citizens Financial Group,Electronic,Yes,3,Yes,Yes,,,Yes,,
16540,2/25/2020,"Reliant Medical Group, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
16544,2/25/2020,"BST & Co. CPAs, LLP",Electronic,Yes,14,Yes,,,,Yes,,
16545,2/25/2020,AFTRA Retirement Fund,Electronic,Yes,8222,Yes,,,,Yes,,
16546,2/25/2020,The Village Bank,Electronic,,1,,,,Yes,,,
16547,2/25/2020,The Village Bank,Electronic,,2,,,,Yes,,,
16548,2/26/2020,PEF Services LLC,Electronic,Yes,76,Yes,Yes,,,Yes,,
16549,2/26/2020,Anthem Blue Cross & Blue Shield,Electronic,Yes,26,Yes,Yes,,,Yes,,
16550,2/26/2020,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
16551,2/26/2020,Dedham Savings,Paper,Yes,1,,Yes,,,,,
16552,2/26/2020,Rockland trust,Paper,Yes,1,,Yes,,,Yes,,
16553,2/26/2020,Munson Healthcare,Electronic,Yes,12,Yes,,,,Yes,,
16541,2/26/2020,WINCHESTER SAVINGS BANK,Electronic,,4,,Yes,,Yes,,,
16542,2/26/2020,SAVERS BANK,Electronic,,2,,,,Yes,,,
16543,2/26/2020,SAVERS BANK,Electronic,,1,,,,Yes,,,
16555,2/26/2020,Lemery Greisler LLC,Electronic,Yes,1,Yes,,,,Yes,,
16556,2/27/2020,Rockland Trust,Paper,Yes,,,Yes,,,Yes,,
16557,2/27/2020,"Chin & Curtis, LLP",Paper,Yes,1,Yes,,,,,,
16558,2/27/2020,"Gullett Holdings, Inc.",Electronic,Yes,1,Yes,,Yes,,Yes,,
16559,2/27/2020,"Omaha Hotels, Inc.",Electronic,Yes,1,,,Yes,Yes,,,
16560,2/27/2020,RailWorks Corporation,Electronic,Yes,124,Yes,,Yes,,Yes,,
16561,2/27/2020,Main Street Bank,Electronic,,1,,,,Yes,,,
16562,2/27/2020,Main Street Bank,Electronic,,2,,,,Yes,,,
16563,2/27/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16564,2/27/2020,Mass Bay Community College,Paper,Yes,2,Yes,,,,Yes,,
16554,2/27/2020,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
16565,2/28/2020,"Wells Fargo Bank, N.A.",Electronic,Yes,5,,Yes,,Yes,Yes,,
16566,2/28/2020,The Village Bank,Electronic,Yes,2,,,,Yes,,,
16567,2/28/2020,WINCHESTER SAVINGS BANK,Electronic,,8,,,,Yes,,,
16568,2/28/2020,Eastern Virginia Medical School,Electronic,Yes,9,Yes,,,,Yes,,
16569,2/28/2020,Shamrock Green Holdings d/b/a FM Expressions,Electronic,Yes,2,,,,Yes,,,
16570,2/28/2020,Tufts Health Plan,Electronic,Yes,9,Yes,,,,Yes,,
16571,2/28/2020,Bed Bath & Beyond Inc.,Paper,Yes,7,,,,Yes,Yes,,
16572,2/28/2020,Tufts Health Plan,Electronic,Yes,53,Yes,,,,Yes,,
16573,3/2/2020,"American Express Travel Related Services Company, Inc",Electronic,,2,,,,Yes,,,
16574,3/2/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16575,3/2/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16576,3/2/2020,Main Street Bank,Electronic,,1,,,,Yes,,,
16577,3/2/2020,"Transamerica, LLC and its affiliates",Paper,,277,,Yes,,,Yes,,
16578,3/2/2020,Tennessee Orthopaedic Alliance,Electronic,Yes,12,Yes,,,,Yes,,
16579,3/2/2020,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
16580,3/3/2020,Silver and Feldman Attorneys at Law,Electronic,Yes,1,Yes,,Yes,,Yes,,
16581,3/3/2020,Positec Tool Corporation,Electronic,Yes,20,,,,Yes,,,
16582,3/3/2020,Oki Data Americas,Electronic,Yes,2,Yes,Yes,Yes,Yes,Yes,,
16583,3/3/2020,"Fiondella, Milone & LaSaracina LLP",Electronic,Yes,24,Yes,,,,Yes,,
16584,3/3/2020,"O'Hagan Meyer, LLC",Electronic,Yes,1,Yes,,,,Yes,,
16585,3/3/2020,"Cygnus Home Service, LLC d/b/a Schwan's Home Service",Electronic,Yes,13,Yes,,,,Yes,,
16586,3/4/2020,The Infosoft Group LLC,Electronic,Yes,1,Yes,,,,Yes,,
16587,3/4/2020,"Racine County, Wisconsin",Electronic,Yes,1,Yes,,,,Yes,,
16589,3/4/2020,EMC National Life Company,Electronic,Yes,22,Yes,,,,Yes,,
