Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25762,1/7/2022,Monroe Public Schools,Electronic,Yes,1,Yes,,,,Yes,,
25763,1/7/2022,Feldesman Tucker Leifer Fidell LLP,Electronic,Yes,29,Yes,,,,Yes,,
25764,1/7/2022,"Suncoast One Title & Closings, Inc.",Electronic,Yes,10,Yes,,Yes,,Yes,,
25765,1/7/2022,"American Express Travel Related Services Company, Inc",Electronic,,1,,,,Yes,,,
25766,1/7/2022,"Day-Lee Foods, Inc.",Electronic,Yes,4,Yes,,,,Yes,,
25767,1/7/2022,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,
25768,1/7/2022,Webster Five Cents Savings Bank,Electronic,,4,,,,Yes,,,
25769,1/10/2022,St. Mary's Credit Union,Electronic,,10,,,,Yes,,,
25771,1/10/2022,Little Giant Ladder Systems,Electronic,Yes,1,Yes,,,,Yes,,
25773,1/10/2022,The Village Bank,Electronic,,3,,Yes,,Yes,,,
25774,1/10/2022,Minnesota Statewide Limited Energy J.A.T.C.,Electronic,Yes,1,Yes,,,,Yes,,
25775,1/11/2022,"Venafi, Inc.",Electronic,Yes,9,Yes,Yes,,,Yes,,
25776,1/11/2022,Adams Community Bank,Electronic,,3,,,,Yes,,,
25772,1/11/2022,SAVERS BANK,Electronic,,1,,,,Yes,,,
25778,1/11/2022,"Tate's Wholesale, LLC",Electronic,Yes,1,Yes,,,,Yes,,
25779,1/11/2022,J.McLaughlin,Electronic,Yes,15,Yes,Yes,Yes,,Yes,,Yes
25780,1/12/2022,"C Squared Systems, LLC",Electronic,Yes,1,Yes,,,,Yes,,
25781,1/12/2022,West Plains Bank and Trust Company,Electronic,Yes,1,Yes,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25782,1/12/2022,"Rollins Financial Advisors, LLC",Electronic,Yes,6,Yes,Yes,,,Yes,,
25783,1/12/2022,Marietta Area Health Care Inc. dba Memorial Health System,Electronic,Yes,60,Yes,,,,Yes,,
25784,1/12/2022,"BCP Securities, LLC",Electronic,Yes,2,Yes,Yes,,,Yes,,
25777,1/12/2022,Harder+Company Community Research,Electronic,Yes,4,Yes,,,,Yes,,
25785,1/13/2022,Allegheny Financial Group,Electronic,Yes,7,,Yes,,,Yes,,
25786,1/13/2022,Medical Review Institute of America,Electronic,Yes,2087,Yes,Yes,,,Yes,,
25787,1/13/2022,Sherril House,Electronic,Yes,3367,Yes,Yes,Yes,,Yes,,
25788,1/13/2022,MutualOne Bank,Electronic,,1,,,,Yes,,,
25789,1/13/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25790,1/13/2022,TCW,Electronic,Yes,2,Yes,Yes,,,Yes,,
25791,1/13/2022,"JPMorgan Chase Bank, N.A.",Paper,,5,,Yes,,,,,
25792,1/13/2022,Millennium Eye Care LLC,Electronic,Yes,2,,,,,,,
25794,1/13/2022,MutualOne Bank,Electronic,,1,,,,Yes,,,
25795,1/13/2022,Wangs Alliance Corporation,Electronic,Yes,9,Yes,,,Yes,Yes,,
25796,1/14/2022,Caring Communities,Electronic,,9,Yes,,,,,,
25797,1/14/2022,Jim Koons Automotive Company,Electronic,Yes,253,Yes,Yes,Yes,Yes,Yes,,
25798,1/14/2022,Brighton Securities Corp,Electronic,Yes,1,Yes,,Yes,,Yes,,
25799,1/14/2022,Connecticut Association for the Performing Arts dba Shubert Theatre,Electronic,Yes,2,Yes,,,,Yes,,
25802,1/14/2022,NeuroLogica Corp.,Electronic,Yes,3,Yes,,,Yes,Yes,,
25803,1/14/2022,"Grandizio Wilkins Little & Matthews, LLP",Electronic,Yes,206,Yes,Yes,Yes,Yes,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25804,1/14/2022,Catania-Spagna Corporation,Electronic,Yes,439,Yes,Yes,Yes,,Yes,,
25805,1/14/2022,American Family Life Insurance Company,Electronic,Yes,102,,,Yes,,Yes,,
25806,1/14/2022,"Rimkus Consulting Group, Inc.",Electronic,Yes,44,Yes,Yes,Yes,,Yes,,
25807,1/14/2022,Boxer Property Management Corporation,Electronic,Yes,4,Yes,,,,Yes,,
25801,1/17/2022,"Power Plumbing, LLC",Electronic,Yes,2,Yes,,Yes,,Yes,,
25800,1/18/2022,"McMenamins, Inc.",Electronic,Yes,11,Yes,,,,Yes,,
25808,1/18/2022,WINCHESTER SAVINGS BANK,Electronic,,2,,,,Yes,,,
25809,1/18/2022,WINCHESTER SAVINGS BANK,Electronic,,3,,,,Yes,,,
25810,1/18/2022,Sunset Harbour Yacht Club,Electronic,Yes,7,,,,Yes,Yes,,
25811,1/18/2022,Minuteman Security Technologies,Electronic,Yes,65,Yes,,,,Yes,,
25812,1/18/2022,"Ciox Health, LLC",Electronic,Yes,172,Yes,,Yes,,Yes,,
25813,1/18/2022,"American Express Travel Related Services Company, Inc.",Electronic,,5,,,,Yes,,,
25814,1/18/2022,"AMI Entertainment Network, LLC",Electronic,Yes,15,Yes,Yes,,,Yes,,
25816,1/18/2022,Vail Health Services,Electronic,Yes,17,Yes,Yes,,,Yes,,
25817,1/18/2022,"American Express Travel Related Services Company, Inc.",Electronic,,15,,,,Yes,,,
25818,1/19/2022,UnitedHealthcare,Electronic,Yes,28,Yes,,,,Yes,,
25819,1/19/2022,Powergrid Services LLC,Electronic,Yes,1,Yes,,,,Yes,,
25820,1/19/2022,Salem Five Cents Savings Bank,Paper,,2,,Yes,,,,,
25815,1/19/2022,LendingTree LLC,Electronic,Yes,,Yes,,,,Yes,,
25822,1/19/2022,M.P. Roberts Insurance Agency,Electronic,Yes,1526,,,Yes,,Yes,,
25823,1/19/2022,"LendUS, LLC",Electronic,Yes,14,Yes,Yes,,Yes,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25824,1/19/2022,"Telkonet, Inc.",Electronic,Yes,2,Yes,,,,Yes,,
25825,1/20/2022,"CGSR, Inc. dba Meadowbrook Healthcare",Electronic,Yes,1,Yes,,,,Yes,,
25826,1/20/2022,Main Street Bank,Electronic,,,,,,Yes,,,
25827,1/20/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25828,1/20/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25829,1/20/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25830,1/20/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25821,1/20/2022,InTransit LLC,Electronic,Yes,42,Yes,,Yes,,Yes,,
25833,1/20/2022,WyndRidge Health and Rehabilitation Center,Electronic,Yes,1,Yes,,,,Yes,,
25834,1/20/2022,"Samaritan Daytop Village, Inc.",Electronic,Yes,14,Yes,,,,Yes,,
25835,1/20/2022,"Allied Benefit Systems, LLC",Electronic,Yes,5,Yes,,,,Yes,,
25836,1/20/2022,"Hutt Trucking Co, Inc.",Electronic,Yes,91,Yes,,Yes,,Yes,,
25837,1/20/2022,Comprehensive Health Services,Electronic,Yes,1533,Yes,,,,Yes,,
25840,1/21/2022,Leader Bank,Electronic,Yes,2,Yes,,Yes,,Yes,,
25841,1/21/2022,"Perennials & Sutherland, LLC",Electronic,Yes,6,Yes,,Yes,,Yes,,
25842,1/21/2022,RAE Corporation,Electronic,Yes,3,Yes,,Yes,,Yes,,
25843,1/21/2022,"Interstate Title Solutions, Inc.",Electronic,Yes,8,,,Yes,,Yes,,
25844,1/21/2022,Hellmann Worldwide Logistics,Electronic,Yes,3,Yes,,Yes,,Yes,,
25845,1/21/2022,"Breslow Starling Frost Warner Boger Hiatt, PLLC",Electronic,Yes,13,Yes,,,,Yes,,
25846,1/21/2022,The Star Supply Company,Electronic,Yes,1,Yes,,,,Yes,,
25847,1/21/2022,St. Marys Credit Union,Electronic,,3,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25831,1/21/2022,St. Lucie County's Drug Screening Lab,Electronic,Yes,21,Yes,,,,Yes,,
25832,1/21/2022,BPG Real Estate Services,Electronic,Yes,24,Yes,,,,Yes,,
25853,1/21/2022,"Nuna Baby Essentials, Inc.",Electronic,Yes,816,,,,Yes,Yes,,
25849,1/21/2022,Greater Chattanooga Area Chamber of Commerce,Electronic,Yes,1,Yes,,,,Yes,,
25850,1/21/2022,"EzBook Solution, LLC",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
25851,1/21/2022,J.R. Vinagro Corporation,Electronic,Yes,15,Yes,,,,Yes,,
25838,1/22/2022,Grand Street Settlement Inc.,Electronic,Yes,9,Yes,Yes,Yes,,Yes,,
25839,1/22/2022,Startek Inc.,Electronic,Yes,4,Yes,,,,Yes,,
25848,1/24/2022,Rockland Trust,Electronic,Yes,2,,Yes,,,Yes,,
25883,1/24/2022,Walsworth Publishing Company,Electronic,Yes,20,Yes,Yes,,,Yes,,
25884,1/24/2022,"Ensinger Industries, Inc.",Electronic,Yes,20,Yes,,,,Yes,,
25854,1/24/2022,"Medical Healthcare Solutions, Inc.",Electronic,Yes,118417,Yes,Yes,Yes,Yes,Yes,,
25855,1/24/2022,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,
25856,1/24/2022,Rockland Trust,Electronic,Yes,2,,Yes,,,Yes,,
25857,1/24/2022,Beth Israel Deaconess Medical Center,Electronic,Yes,1,Yes,,,,Yes,,
25858,1/24/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25859,1/24/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25860,1/24/2022,Mutual One Bank,Electronic,,1,,,Yes,Yes,,,
25861,1/24/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25862,1/24/2022,Key Planning,Electronic,Yes,3,Yes,Yes,Yes,,Yes,,
25863,1/24/2022,CTH Rentals,Electronic,Yes,11,Yes,,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25864,1/24/2022,The Cooperative Bank of Cape Cod,Electronic,,463,,,,Yes,,,
25865,1/24/2022,Eastern Bank,Electronic,,2543,,,,Yes,,,
25867,1/25/2022,Valley Regional Transit,Electronic,Yes,1,Yes,,,,Yes,,
25868,1/25/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25869,1/25/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25870,1/25/2022,"Allied Benefit Systems, LLC",Electronic,Yes,5,Yes,,,,Yes,,
25871,1/25/2022,Penn LLC d/b/a PulseTV,Electronic,,5270,,,,Yes,,,
25872,1/25/2022,Catholic Hospice,Electronic,Yes,17,Yes,,,,Yes,,
25880,1/25/2022,"American Express Travel Related Services Company, Inc.",Electronic,,44,,,,Yes,,,
25881,1/25/2022,Hospital Authority of Valdosta and Lowndes County Georgia,Electronic,Yes,1,,,,,Yes,,
25882,1/25/2022,"JPMorgan Chase Bank, N.",Electronic,Yes,1,,Yes,,,,,
25873,1/26/2022,Salem Five Cents Savings Bank,Electronic,,36,,,,Yes,,,
25874,1/26/2022,Psych Care Consultants and Reimbursement Solutions,Electronic,,24,Yes,,,,Yes,,
25875,1/26/2022,Specialized Pediatric Eye Care,Electronic,,182,Yes,,,,Yes,,
25876,1/26/2022,Cleo AI Inc,Electronic,Yes,1,,Yes,,,,,
25877,1/26/2022,Aditi Consulting,Electronic,Yes,61,Yes,,,,Yes,,
25878,1/26/2022,Midland University,Electronic,Yes,9,Yes,,,,Yes,,
25879,1/26/2022,Girl Scouts of Connecticut,Electronic,Yes,1,Yes,,,,Yes,,
25885,1/26/2022,Rockport Police Department,Electronic,Yes,1,Yes,,Yes,,,,
25886,1/26/2022,Jones Family of Companies,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
25888,1/26/2022,"Morley Companies, Inc.",Electronic,Yes,756,Yes,Yes,Yes,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25889,1/27/2022,WINCHESTER SAVINGS BANK,Electronic,,8,,,,Yes,,,
25890,1/27/2022,Ally Financial,Electronic,Yes,6,,Yes,,,Yes,,
25887,1/27/2022,"JPay, Inc.",Electronic,Yes,8,Yes,Yes,Yes,,Yes,,
25866,1/27/2022,"Stratis Visuals, LLC",Electronic,Yes,6,Yes,,Yes,,Yes,,
25892,1/28/2022,Internews Network,Electronic,Yes,31,Yes,,,,Yes,,
25893,1/28/2022,"Bard Associates, Inc.",Electronic,Yes,8,Yes,Yes,,,Yes,,
25894,1/28/2022,"Apex International Mfg., LLC",Electronic,Yes,2,Yes,,,,Yes,,
25899,1/28/2022,Keller Supply Company,Electronic,Yes,1,Yes,,,,Yes,,
25900,1/28/2022,Banfield Pet Hospital,Electronic,,1,Yes,,,,Yes,,
25901,1/28/2022,"ALM Media Properties, LLC",Electronic,Yes,21,,Yes,,,,,
25902,1/28/2022,Accutech Systems Corporation,Electronic,Yes,439,Yes,Yes,,,Yes,,
25903,1/28/2022,Envision Credit Union,Electronic,Yes,19,Yes,Yes,Yes,Yes,Yes,,
25904,1/28/2022,Webster Five Cents Savings Bank,Electronic,,5,,,,Yes,,,
25897,1/29/2022,"Farmers Telephone Cooperative, Inc.",Electronic,Yes,6,Yes,Yes,,,Yes,,
25919,1/31/2022,Bank of America,Electronic,,2,Yes,Yes,Yes,,Yes,,
25949,1/31/2022,Bank of America,Electronic,,2,Yes,Yes,Yes,,Yes,,
25895,1/31/2022,Unum Group,Electronic,Yes,210,Yes,,,,Yes,,
25896,1/31/2022,WINCHESTER SAVINGS BANK,Electronic,,4,,,,Yes,,,
25905,2/1/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25906,2/1/2022,Small Business Accounting Services,Electronic,Yes,5,Yes,Yes,,,Yes,,
25907,2/2/2022,Adams Community Bank,Electronic,,1,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25908,2/2/2022,Girl Scouts of Connecticut,Electronic,Yes,1,Yes,,,,Yes,,
26068,2/2/2022,BluePearl Specialty + Emergency Pet Hospital,Paper,Yes,120,Yes,,,,Yes,,
25909,2/3/2022,"Radius Financial Group, Inc",Electronic,Yes,12377,Yes,Yes,Yes,Yes,Yes,,
25910,2/3/2022,"Schwartz & Greenbaum, LLC",Electronic,Yes,5,Yes,Yes,Yes,,Yes,,
25911,2/3/2022,"Mango Technologies, Inc., dba ClickUp",Electronic,Yes,1,,Yes,,,Yes,,
25912,2/3/2022,Adams Community Bank,Electronic,,1,,,,Yes,,,
25913,2/3/2022,Professional Personnel Services d/b/a Luttrell Staffing Group,Electronic,Yes,5,Yes,,,,,,
25914,2/3/2022,Margaret Higgs MD,Paper,Yes,1,,,,Yes,Yes,,
25920,2/3/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25921,2/3/2022,Massachusetts Teachers' Retirement System,Electronic,Yes,2,,,,,,,
25926,2/3/2022,"PUMA North America, Inc.",Electronic,Yes,1159,Yes,,,,Yes,,
25916,2/3/2022,Foundation Wellness,Electronic,Yes,140,,,,Yes,,,
25917,2/3/2022,"Optisure Risk Partners, LLC.",Electronic,Yes,1,,Yes,,,Yes,,
25918,2/3/2022,"American Cancer Society, Inc.",Paper,,2,,Yes,,,,,
25927,2/4/2022,Mortgage Connect LP,Electronic,Yes,16,Yes,Yes,Yes,Yes,Yes,,
25928,2/4/2022,"American Express Travel Related Services Company, Inc",Electronic,,17,,,,Yes,,,
25929,2/4/2022,Jefferson Credit Union,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
25922,2/4/2022,"Cobec Consulting, Inc.",Electronic,Yes,2,Yes,,,,Yes,,
25923,2/4/2022,Watertown Savings Bank,Electronic,,3,,,,Yes,,,
25924,2/4/2022,"Concord Hospitality Enterprises Company, LLC",Electronic,Yes,31,Yes,,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25925,2/4/2022,Injured Workers Pharmacy,Electronic,Yes,295,Yes,Yes,Yes,Yes,Yes,,
25930,2/7/2022,"Kem Krest, LLC",Electronic,Yes,2,Yes,,,,Yes,,
25931,2/7/2022,Berkshire Concrete Cutting LLC,Electronic,Yes,5,Yes,,,,Yes,,
25932,2/7/2022,MassMedicum Corp.,Electronic,,53,Yes,,Yes,,Yes,,
25933,2/7/2022,H.J. Russell & company,Electronic,Yes,2,Yes,,,,Yes,,
25934,2/7/2022,WINCHESTER SAVINGS BANK,Electronic,,4,,,,Yes,,,
25935,2/7/2022,Ballester Hermanos,Electronic,Yes,1,Yes,,,,Yes,,
25936,2/7/2022,Spaulding Rehabilitation Network,Electronic,,1,,,,,Yes,,
25937,2/7/2022,Care New England Health System,Paper,Yes,2,Yes,,,,Yes,,
25938,2/7/2022,"KMG Prestige, Inc.",Electronic,Yes,1,Yes,,Yes,,Yes,,
25939,2/7/2022,"Briad Management Services, LLC",Electronic,Yes,2,Yes,,,,Yes,,
25941,2/7/2022,Tuscarora Intermediate Unit 11,Electronic,Yes,1,Yes,,,,Yes,,
25942,2/8/2022,National Math and Science Initiative,Electronic,Yes,105,Yes,,,,Yes,,
25943,2/8/2022,Shawmut Communications Group,Electronic,Yes,244,Yes,,,,Yes,,
25944,2/8/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25945,2/8/2022,"Global Air Charters, Inc.",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
25946,2/8/2022,Precision Terminal Logistics,Electronic,Yes,8,Yes,Yes,Yes,,Yes,,
25947,2/8/2022,Hospitality Furnishing and Design,Electronic,Yes,1,Yes,,,,Yes,,
25951,2/8/2022,"Millenia Investments, LLC",Electronic,Yes,12,Yes,Yes,,,Yes,,
25952,2/8/2022,"James E. Hanson Management Company, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
25954,2/8/2022,Oregano's Pizza Bistro,Electronic,Yes,5,Yes,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25940,2/8/2022,Cross Timbers Health Clinics d/b/a AccelHealth,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
25955,2/9/2022,"Perrone Robotics, Inc.",Electronic,Yes,1,,Yes,,,Yes,,
25956,2/9/2022,"OTR Global Holdings II, Inc.",Electronic,Yes,3,,,,,,,
25957,2/9/2022,Amica,Electronic,,1,,,Yes,,,,
25965,2/9/2022,ApeMDx Home Loans,Electronic,Yes,7,Yes,Yes,Yes,Yes,Yes,,
25966,2/9/2022,"Sigma Labs, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
25967,2/9/2022,"Component Assembly Systems, Inc.",Electronic,Yes,15,Yes,,Yes,,Yes,,
25959,2/10/2022,Venitt Financial Partners LLC,Electronic,Yes,1,Yes,Yes,,,Yes,,
25960,2/10/2022,Miller Valentine,Electronic,Yes,1,,,Yes,,Yes,,
25961,2/10/2022,Sierra Pacific Mortgage,Electronic,Yes,10,Yes,,,,Yes,,
25962,2/10/2022,Vermont Mutual Insurance Company,Electronic,,1,,,Yes,,Yes,,
25963,2/10/2022,The Lyon Waugh Auto Group,Electronic,Yes,3482,Yes,,Yes,,Yes,,
25964,2/10/2022,"Northern Contours, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
25958,2/11/2022,"American Express Travel Related Services Company, Inc.",Electronic,,3149,,,,Yes,,,
25968,2/11/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25969,2/11/2022,"PrimeLending, A PlainsCapital Company",Electronic,Yes,1,Yes,,,,Yes,,
25970,2/11/2022,"Service Employees International Union, Local 32BJ",Electronic,Yes,23078,Yes,Yes,,,Yes,,
25971,2/11/2022,Utility Trailer Manufacturing Company,Electronic,Yes,3,Yes,,,,Yes,,
25972,2/11/2022,"Seviroli Foods, Inc./Vertullo Imports",Electronic,Yes,5,Yes,,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25973,2/14/2022,KMG Prestige,Electronic,,1,Yes,,Yes,,Yes,,
25977,2/14/2022,"Rolf G Williams, CPA",Electronic,Yes,309,Yes,Yes,Yes,,Yes,,
25978,2/14/2022,"AGM Financial, Inc.",Electronic,Yes,5,Yes,,,,Yes,,
25979,2/14/2022,"DPI Specialty Foods, Inc.",Electronic,Yes,807,Yes,Yes,Yes,,Yes,,
25980,2/14/2022,Center for Sustainable Energy,Electronic,Yes,7,Yes,,,,Yes,,
25981,2/14/2022,Webster Five Cents Savings Bank,Electronic,,9,,,,Yes,,,
25982,2/14/2022,Ethos Technologies Inc.,Electronic,Yes,354,,,Yes,,Yes,,
25983,2/14/2022,"CIC Wealth, LLC",Electronic,Yes,1,,Yes,,,,,
25984,2/14/2022,"Hitchiner Manufacturing Co., Inc.",Electronic,Yes,77,Yes,Yes,,,Yes,,
25974,2/15/2022,Main Street Bank,Electronic,,1,,,,Yes,,,
25975,2/15/2022,Mutual One Bank,Electronic,,1,,,,Yes,,,
25976,2/15/2022,Lincare Holdings Inc.,Electronic,Yes,22313,Yes,Yes,,,Yes,,
25988,2/15/2022,"Vital Voices Global Partnership, Inc.",Electronic,Yes,6,,Yes,,,Yes,,
25989,2/15/2022,Diversified Maintenance,Electronic,Yes,3,Yes,,,,Yes,,
25990,2/15/2022,Orthopedic Associates of Hawaii,Electronic,Yes,75,Yes,,,,Yes,,
25991,2/15/2022,"La Posada at Park Centre, Inc.",Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
