Assigned Breach Number,Year,Date Reported To OCA,Organization Name,MA Residents Affected,Breach Occured at Reporting Entity,SSN Breached,Drivers Licenses Breached,Account Number Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
16338,2020,1/13/2020,Winged Keel Group,6,1,1,1,0,0,1,0,0
16339,2020,1/14/2020,Decron Properties Corporation,9,1,1,1,1,0,1,0,0
16340,2020,1/14/2020,City of Bend,2,0,0,0,0,1,1,0,0
16341,2020,1/15/2020,Salem Five Cents Savings Bank,3,0,0,0,0,1,0,0,0
16343,2020,1/15/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16344,2020,1/15/2020,Savers Bank,1,0,0,0,0,1,0,0,0
16345,2020,1/15/2020,"Legalinc Corporate Services, Inc.",23,1,1,0,0,0,1,0,0
16346,2020,1/15/2020,"AgencyONE, LLC",128,1,1,1,1,0,1,0,0
16347,2020,1/16/2020,Eagle Bank,1,0,0,0,0,1,0,0,0
16349,2020,1/16/2020,Massachusetts General Hospital,1,1,0,0,0,0,0,0,0
16350,2020,1/16/2020,The National Association of Manufacturers,4,1,1,0,1,1,1,0,0
16351,2020,1/16/2020,"Kayne Anderson Capital Advisors, L.P.",4,1,1,0,0,0,1,0,0
16352,2020,1/16/2020,Northerner Scandinavia AB,42,1,0,0,0,1,0,0,0
16353,2020,1/17/2020,THE VILLAGE BANK,26,0,0,0,0,1,0,0,0
16354,2020,1/17/2020,Eagle Bank,9,0,0,0,0,1,0,0,0
16355,2020,1/17/2020,"American Express Travel Related Services Company, Inc. and /or its Affiliates (""AXP"")",36,0,0,0,0,1,0,0,0
16357,2020,1/17/2020,Kermit Lynch Wine Merchant,1,1,0,0,0,1,0,0,0
16358,2020,1/17/2020,St. Marys Credit Union,24,0,0,0,0,1,0,0,0
16359,2020,1/17/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
16360,2020,1/17/2020,"J.D. England Management, Inc.",39,1,0,1,0,0,1,0,0
16361,2020,1/17/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16365,2020,1/17/2020,Honeybee Health,22,1,0,0,0,1,0,0,0
16366,2020,1/20/2020,Delta Dental of Massachusetts,16,1,1,0,0,0,1,0,0
16367,2020,1/20/2020,"The UPS Store, Inc.",115,1,1,1,1,1,1,0,0
16370,2020,1/21/2020,Main Street Bank,46,0,0,0,0,1,0,0,0
16371,2020,1/21/2020,Braintrust Software LLC dba The Braintrust Consulting Group,2,1,0,0,0,1,0,0,0
16372,2020,1/21/2020,Mutual One Bank,7,0,0,0,0,1,0,0,0
16374,2020,1/21/2020,"Sunshine Behavioral Health Group, LLC",56,1,0,0,1,1,1,0,0
16378,2020,1/21/2020,St Mary's Credit Union,1,0,0,0,0,1,0,0,0
16379,2020,1/22/2020,Dedham Savings,1,0,0,0,0,1,0,0,0
16380,2020,1/22/2020,Dedham Savings,3,0,0,0,0,1,0,0,0
16381,2020,1/22/2020,Dedham Savings,1,0,0,0,0,1,0,0,0
16382,2020,1/22/2020,Dedham Savings,2,0,0,0,0,1,0,0,0
16383,2020,1/22/2020,Dedham Savings,37,0,0,0,0,1,0,0,0
16384,2020,1/22/2020,Dedham Savings,64,0,0,0,0,1,0,0,0
16386,2020,1/22/2020,The Village Bank,46,0,0,0,0,1,0,0,0
16387,2020,1/22/2020,"Transamerica, LLC and its affiliates",11,0,1,0,0,0,1,0,0
16388,2020,1/22/2020,The Village Bank,4,0,0,0,0,1,0,0,0
16390,2020,1/22/2020,"REVA, Inc.",7,1,1,0,0,0,1,0,0
16391,2020,1/22/2020,Rosen Sapperstein & Friedlander LLC,1,1,1,0,0,0,1,0,0
16395,2020,1/22/2020,Lincoln National Life Insurance Company,87,1,1,0,0,0,1,0,0
16375,2020,1/22/2020,"American Express Travel Related Services Company, Inc.",10,0,0,0,0,1,0,0,0
16376,2020,1/22/2020,ST MARYS CREDIT UNION,50,0,0,0,0,1,0,0,0
16385,2020,1/23/2020,Dedham Savings,1,0,0,0,0,1,0,0,0
16392,2020,1/24/2020,Salem Five Cents Savings Bank,2,0,0,0,0,1,0,0,0
16394,2020,1/24/2020,Discover Financial Services,1,0,1,0,1,0,1,0,0
16403,2020,1/24/2020,"Travel Tripper, LLC",1,1,0,0,0,1,1,0,0
16396,2020,1/24/2020,WINCHESTER SAVINGS BANK,1,0,0,0,0,1,0,0,0
16397,2020,1/24/2020,St. Marys Credit Union,3,0,0,0,0,1,0,0,0
16398,2020,1/24/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
16399,2020,1/24/2020,"AmeriHealth Caritas Louisiana, Inc.",1,1,1,0,0,0,1,0,0
16400,2020,1/24/2020,Pacific Specialty Insurance Company,1,1,1,1,0,0,1,0,0
16402,2020,1/26/2020,NBKC Bank,24,1,1,0,1,0,1,0,0
16401,2020,1/27/2020,"American Express Travel Related Services Company, Inc",5,0,0,0,0,1,0,0,0
16404,2020,1/27/2020,"American Express Travel Related Services Company, Inc.",1,0,0,0,0,1,0,0,0
16405,2020,1/27/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16406,2020,1/27/2020,Main Street Bank,66,0,0,0,0,1,0,0,0
16407,2020,1/28/2020,St. Marys Credit Union,1,0,0,0,0,1,0,0,0
16408,2020,1/28/2020,Stone Mountain Memorial Association,1,1,1,0,0,0,1,0,0
16410,2020,1/29/2020,Main Street Bank,2,0,0,0,0,1,0,0,0
16427,2020,1/29/2020,The Stow Company,4,1,1,0,0,0,1,0,0
16424,2020,1/30/2020,New Studio Architecture,3,1,1,0,1,0,1,0,0
16419,2020,1/30/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16421,2020,1/30/2020,"Rainbow Finance, LLC",9,1,1,1,1,0,1,0,0
16412,2020,1/30/2020,Ameriprise Financial Inc.,2,1,1,0,0,0,1,0,0
16413,2020,1/30/2020,"Massey Services, Inc.",21,1,1,1,1,0,1,0,0
16414,2020,1/30/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16415,2020,1/30/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16416,2020,1/30/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16417,2020,1/30/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16422,2020,1/31/2020,"American Express Travel Related Services Company, Inc",1,0,0,0,0,1,0,0,0
16423,2020,1/31/2020,Public Storage,1,1,0,0,0,1,0,0,0
16426,2020,1/31/2020,"William Rawn Associates, Architects, Inc.",20,1,1,1,1,1,1,0,0
16428,2020,1/31/2020,Webster Five Cents Savings Bank,4,0,0,0,0,1,0,0,0
16429,2020,1/31/2020,Salem Five Cents Savings Bank,3,0,0,0,0,1,0,0,0
16430,2020,1/31/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16441,2020,1/31/2020,St Marys Credit Union,1,0,0,0,0,1,0,0,0
16433,2020,1/31/2020,"Golden Entertainment, Inc.",10,1,1,1,0,1,1,0,0
16432,2020,2/2/2020,"Fellowship Health Resources, Inc.",1,1,1,0,0,0,1,0,0
16431,2020,2/3/2020,Winchester Savings Bank,3,0,0,0,1,1,0,0,0
16436,2020,2/3/2020,The Village Bank,5,0,0,0,0,1,0,0,0
16439,2020,2/3/2020,American First Finance Inc.,4,1,1,1,1,0,1,0,0
16443,2020,2/4/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16444,2020,2/4/2020,Deaf Services Unlimited,23,0,1,0,1,0,1,0,0
16445,2020,2/4/2020,Personal Touch Holding Corp.,8468,0,1,1,0,0,1,0,0
16446,2020,2/5/2020,Watertown Savings Bank,34,0,0,0,0,1,0,0,0
16447,2020,2/5/2020,"E.T. Kelly & Associates, LLC",1,1,1,0,0,0,1,0,0
16449,2020,2/5/2020,"Hanna Andersson, LLC",12405,0,0,0,1,0,1,0,0
16451,2020,2/6/2020,"Capital One, N.A.",13,1,1,0,0,1,1,0,0
16452,2020,2/6/2020,"Altice USA, Inc",52,1,1,1,0,0,1,0,0
16453,2020,2/6/2020,Lightspeed Technologies Inc.,1,1,1,0,0,0,1,0,0
16454,2020,2/6/2020,"Heritage Insurance Service, Inc.",5,1,1,1,0,0,1,0,0
16455,2020,2/7/2020,"Stock & Option Solutions, Inc.",3,1,1,0,0,0,1,0,0
16456,2020,2/7/2020,National Academy of Sciences,5,1,1,0,0,0,1,0,0
16457,2020,2/7/2020,Conduent HR Services LLC,8,1,1,0,1,0,1,0,0
16459,2020,2/7/2020,Barnhill Contracting Company,2,1,1,0,0,0,1,0,0
16461,2020,2/10/2020,St. Mary's Credit Union,2,0,0,0,0,1,0,0,0
16462,2020,2/10/2020,Idaho Central Credit Union,3,0,1,0,1,0,1,0,0
16463,2020,2/10/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
16464,2020,2/10/2020,Eastern Bank,1405,0,0,0,0,1,0,0,0
16466,2020,2/10/2020,"Novo Nordisk, Inc.",6,0,1,0,0,1,1,0,0
16458,2020,2/10/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16469,2020,2/11/2020,Gordon Feinblatt LLC,2,1,1,1,0,0,1,0,0
16465,2020,2/11/2020,"American Express Travel Related Services Company, Inc",2,0,0,0,0,1,0,0,0
16470,2020,2/12/2020,The Village Bank,2,0,0,0,0,1,0,0,0
16471,2020,2/12/2020,"American Express Travel Related Services Company, Inc.",6,0,0,0,0,1,0,0,0
16472,2020,2/12/2020,The Lincoln National Life Insurance Company,1,1,1,0,0,0,1,0,0
16473,2020,2/12/2020,"American Express Travel Related Services Company, Inc.",3,0,0,0,0,1,0,0,0
16474,2020,2/12/2020,Terlato Wine Group,9,1,1,1,0,0,1,0,0
16418,2020,2/12/2020,"Kabbage, Inc.",2,1,1,0,1,0,1,0,0
16475,2020,2/13/2020,Salem Five Cents Savings Bank,5,0,0,0,0,1,0,0,0
16476,2020,2/13/2020,"American Express Travel Related Services Company, Inc.",6,0,0,0,0,1,0,0,0
16477,2020,2/13/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16478,2020,2/13/2020,Savers Bank,1,0,0,0,0,1,0,0,0
16479,2020,2/13/2020,Savers Bank,2,0,0,0,0,1,0,0,0
16480,2020,2/13/2020,Phoenix Children's Hospital,1,1,1,0,0,0,1,0,0
16481,2020,2/14/2020,Savers Bank,1,0,0,0,0,1,0,0,0
16482,2020,2/14/2020,Alfred University,1,1,1,0,0,0,1,0,0
16483,2020,2/14/2020,Webster Five Cents Savings Bank,38,0,0,0,0,1,0,0,0
16484,2020,2/14/2020,H&R Block LLC,2,1,1,0,0,0,1,0,0
16485,2020,2/14/2020,Shields Health Solutions,1,1,1,0,0,0,1,0,0
16486,2020,2/14/2020,Savers Bank,26,0,0,0,0,1,0,0,0
16487,2020,2/14/2020,Savers bank,1,0,0,0,0,1,0,0,0
16488,2020,2/14/2020,Savers Bank,53,0,0,0,0,1,0,0,0
16490,2020,2/14/2020,Nantucket Cottage Hospital,1,1,1,0,0,0,1,0,0
16496,2020,2/14/2020,"Wells Fargo Bank, N.A.",2,1,0,0,1,0,1,0,0
16497,2020,2/14/2020,"NCH Healthcare System, Inc.",34,1,1,0,1,0,1,0,0
16493,2020,2/14/2020,Sales Benchmark Index,10,1,1,0,1,0,1,0,0
16494,2020,2/14/2020,Aveanna Healthcare,4084,1,1,1,1,0,1,0,0
16491,2020,2/17/2020,"TrueDialog, Inc.",5,1,1,1,0,0,1,0,0
16498,2020,2/18/2020,First Heartland,6,1,1,1,0,0,1,0,0
16499,2020,2/18/2020,East House Corporation,1,1,1,0,0,0,1,0,0
16500,2020,2/18/2020,Nippon Life Insurance Company of America,1,1,0,0,1,0,1,0,0
16501,2020,2/19/2020,Heska Corporation,3,1,1,1,0,1,1,0,0
16502,2020,2/19/2020,Tablet Inc.,25,1,0,0,0,1,1,0,0
16504,2020,2/19/2020,"American Express Travel Related Services Company, Inc.",491,0,0,0,0,1,0,0,0
16505,2020,2/19/2020,"Advocate Aurora Health (""AAH"")",65,1,1,0,1,0,1,0,0
16506,2020,2/19/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16507,2020,2/19/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16508,2020,2/19/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16510,2020,2/19/2020,Insurance Recovery Group,304,1,1,1,0,0,1,0,0
16511,2020,2/19/2020,"ADP, LLC",121,1,1,0,0,0,1,0,0
16512,2020,2/20/2020,"JPMorgan Chase Bank, N.A",1,1,0,0,1,0,0,0,0
16513,2020,2/20/2020,"Frobenius, Conaway & Company, P.C.",11,1,1,0,1,0,1,0,0
16515,2020,2/20/2020,Mr. Richard DeMaria of Wealth Capital Group,1,1,0,0,1,0,1,0,0
16520,2020,2/20/2020,The Hanover Insurance Company,100,1,1,1,1,0,1,0,0
16522,2020,2/21/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16523,2020,2/21/2020,Pacific Guardian Life Insurance Company Limited,19,1,1,0,0,0,1,0,0
16524,2020,2/21/2020,Covestro LLC,153,1,1,0,0,0,1,0,0
16526,2020,2/21/2020,"Nesnah Ventures, LLC",2,1,0,0,1,0,0,0,0
16516,2020,2/21/2020,"Central Research, Inc.",1,1,1,0,0,0,1,0,0
16528,2020,2/21/2020,Urban Alliance Foundation,2,1,0,0,1,1,1,0,0
16529,2020,2/21/2020,"Lancaster Archery Supply, Inc.",100,1,0,0,0,1,1,0,0
16530,2020,2/21/2020,"WESCO Distribution, Inc.",21,1,1,0,1,0,1,0,0
16527,2020,2/22/2020,Prominent Title Agency,2,1,1,0,0,0,1,0,0
16525,2020,2/22/2020,"Tanglewood Manor, Inc.",1,1,1,0,0,0,1,0,0
16531,2020,2/24/2020,Boston College High School,592,1,1,1,1,1,1,0,0
16532,2020,2/24/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16533,2020,2/24/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16534,2020,2/24/2020,"Apps Associates Holdings, LLC",147,1,1,0,1,0,1,0,0
16536,2020,2/25/2020,MediaRadar,8,1,1,1,0,0,1,0,0
16537,2020,2/25/2020,"Nextenture, Inc.",10,1,1,0,0,0,1,0,0
16538,2020,2/25/2020,County of Berks,1,1,1,0,0,0,1,0,0
16539,2020,2/25/2020,Citizens Financial Group,3,1,1,0,1,0,1,0,0
16540,2020,2/25/2020,"Reliant Medical Group, Inc.",1,1,1,0,0,0,1,0,0
16544,2020,2/25/2020,"BST & Co. CPAs, LLP",14,1,1,0,0,0,1,0,0
16545,2020,2/25/2020,AFTRA Retirement Fund,8222,1,1,0,0,0,1,0,0
16546,2020,2/25/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16547,2020,2/25/2020,The Village Bank,2,0,0,0,0,1,0,0,0
16548,2020,2/26/2020,PEF Services LLC,76,1,1,0,1,0,1,0,0
16549,2020,2/26/2020,Anthem Blue Cross & Blue Shield,26,1,1,0,1,0,1,0,0
16553,2020,2/26/2020,Munson Healthcare,12,1,1,0,0,0,1,0,0
16541,2020,2/26/2020,WINCHESTER SAVINGS BANK,4,0,0,0,1,1,0,0,0
16542,2020,2/26/2020,SAVERS BANK,2,0,0,0,0,1,0,0,0
16543,2020,2/26/2020,SAVERS BANK,1,0,0,0,0,1,0,0,0
16555,2020,2/26/2020,Lemery Greisler LLC,1,1,1,0,0,0,1,0,0
16558,2020,2/27/2020,"Gullett Holdings, Inc.",1,1,1,1,0,0,1,0,0
16559,2020,2/27/2020,"Omaha Hotels, Inc.",1,1,0,1,0,1,0,0,0
16560,2020,2/27/2020,RailWorks Corporation,124,1,1,1,0,0,1,0,0
16561,2020,2/27/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
16562,2020,2/27/2020,Main Street Bank,2,0,0,0,0,1,0,0,0
16563,2020,2/27/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16565,2020,2/28/2020,"Wells Fargo Bank, N.A.",5,1,0,0,1,1,1,0,0
16566,2020,2/28/2020,The Village Bank,2,1,0,0,0,1,0,0,0
16567,2020,2/28/2020,WINCHESTER SAVINGS BANK,8,0,0,0,0,1,0,0,0
16568,2020,2/28/2020,Eastern Virginia Medical School,9,1,1,0,0,0,1,0,0
16569,2020,2/28/2020,Shamrock Green Holdings d/b/a FM Expressions,2,1,0,0,0,1,0,0,0
16570,2020,2/28/2020,Tufts Health Plan,9,1,1,0,0,0,1,0,0
16572,2020,2/28/2020,Tufts Health Plan,53,1,1,0,0,0,1,0,0
16573,2020,3/2/2020,"American Express Travel Related Services Company, Inc",2,0,0,0,0,1,0,0,0
16574,2020,3/2/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16575,2020,3/2/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16576,2020,3/2/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
16578,2020,3/2/2020,Tennessee Orthopaedic Alliance,12,1,1,0,0,0,1,0,0
16580,2020,3/3/2020,Silver and Feldman Attorneys at Law,1,1,1,1,0,0,1,0,0
16581,2020,3/3/2020,Positec Tool Corporation,20,1,0,0,0,1,0,0,0
16582,2020,3/3/2020,Oki Data Americas,2,1,1,1,1,1,1,0,0
16583,2020,3/3/2020,"Fiondella, Milone & LaSaracina LLP",24,1,1,0,0,0,1,0,0
16584,2020,3/3/2020,"O'Hagan Meyer, LLC",1,1,1,0,0,0,1,0,0
16585,2020,3/3/2020,"Cygnus Home Service, LLC d/b/a Schwan's Home Service",13,1,1,0,0,0,1,0,0
16586,2020,3/4/2020,The Infosoft Group LLC,1,1,1,0,0,0,1,0,0
16587,2020,3/4/2020,"Racine County, Wisconsin",1,1,1,0,0,0,1,0,0
16589,2020,3/4/2020,EMC National Life Company,22,1,1,0,0,0,1,0,0
16591,2020,3/5/2020,"Charles Schwab & Co., Inc.",2,1,0,0,1,0,1,0,0
16593,2020,3/5/2020,Wells Fargo Bank,3,1,0,0,1,0,1,0,0
16588,2020,3/5/2020,Carnival Corporation & PLC,2182,1,1,1,1,1,1,0,0
16594,2020,3/6/2020,Southbridge Credit Union,1048,1,0,0,0,1,0,0,0
16596,2020,3/6/2020,"NYR Organic, Inc.",361,1,1,0,1,0,1,0,0
16597,2020,3/6/2020,"Doyle Wealth Management, Inc.",11,1,1,0,1,0,1,0,0
16598,2020,3/6/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16599,2020,3/6/2020,"Lonza North America, Inc.",1,0,1,1,1,1,1,0,0
16600,2020,3/6/2020,CliftonLarsonAllen LLC,6,1,1,0,0,0,1,0,0
16601,2020,3/6/2020,Meadville Medical Center,2,1,1,1,1,0,1,0,0
16602,2020,3/6/2020,"James River Asset Management, LLC",1,1,1,0,0,0,1,0,0
16603,2020,3/6/2020,"Department of Commerce Federal Credit Union
(""DOCFCU"")",10,1,1,0,1,0,1,0,0
16604,2020,3/6/2020,KeyBank,1,1,0,0,1,0,1,0,0
16605,2020,3/9/2020,Berkshire Bank,214,1,0,0,0,1,0,0,0
16606,2020,3/9/2020,"Eversana Life Sciences Services, LLC",63,1,1,0,1,0,1,0,0
16608,2020,3/9/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16609,2020,3/9/2020,National Filter Media,1,1,1,0,0,0,1,0,0
16610,2020,3/9/2020,"Hahn Financial Group, Inc.",1,1,1,0,1,0,1,0,0
16611,2020,3/10/2020,TrueFire LLC,162,0,0,0,0,1,0,0,0
16612,2020,3/10/2020,St. Marys Credit Union,1,0,0,0,0,1,0,0,0
16613,2020,3/10/2020,The Prudential Insurance Company of America,26,0,1,0,1,0,1,0,0
16614,2020,3/10/2020,"Choctaw Global, LLC",4,1,1,0,0,0,1,0,0
16615,2020,3/10/2020,Town of Bristol Rhode Island¶s Department of Public Works,2,1,1,0,0,0,1,0,0
16616,2020,3/11/2020,Woods & Woods LLC,213,1,1,0,1,0,1,0,0
16617,2020,3/11/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16618,2020,3/11/2020,"The Results Companies, LLC",31,1,1,1,0,0,1,0,0
16624,2020,3/11/2020,Northeast Radiology,487,1,1,0,0,0,1,0,0
16625,2020,3/12/2020,"Greater Washington Educational Telecommunications Association, Inc.",10,1,1,0,1,0,1,0,0
16626,2020,3/12/2020,Chapdelaine Law OfficePC,100,0,1,1,1,0,0,0,0
16627,2020,3/12/2020,"Relation Insurance Inc., d/b/a Relation Insurance Services of Georgia",6,1,1,0,0,0,1,0,0
16628,2020,3/13/2020,UMass Memorial Medical Group,1,1,1,0,0,0,1,0,0
16629,2020,3/13/2020,"General Electric Company (""GE"")",6,0,1,1,1,0,1,0,0
16630,2020,3/13/2020,Wichita State University,769,1,1,0,0,0,1,0,0
16631,2020,3/13/2020,"Partnervest Advisory Services, LLC",3,1,1,0,1,0,1,0,0
16632,2020,3/13/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16633,2020,3/13/2020,"BGGMC, LLC / Hotel Contessa",42,0,0,0,0,1,0,0,0
16634,2020,3/13/2020,"Kids 2, Inc.",4,1,1,0,1,0,1,0,0
16647,2020,3/13/2020,Benchmark Education Company,22,1,1,0,1,0,1,0,0
16648,2020,3/13/2020,Sceptre Hospitality Resources,27,1,0,0,0,1,1,0,0
16649,2020,3/13/2020,Chesapeake Bank of Maryland,3,1,1,1,1,1,1,0,0
16643,2020,3/16/2020,DiPrete Engineering Associates Inc.,2,1,1,1,0,0,1,0,0
16644,2020,3/16/2020,Peoples United Bank,2,1,1,0,1,0,1,0,0
16645,2020,3/16/2020,"Avalon Health Care Management, Inc.",4,1,1,0,0,0,1,0,0
16650,2020,3/17/2020,"SafeRack, LLC",8,1,1,0,1,0,1,0,0
16656,2020,3/17/2020,The Commonwealth of Massachusetts Executive Office of Health & Human Services Office of Medicaid,1,1,1,0,0,0,0,0,0
16657,2020,3/17/2020,Eastern Bank,107,0,0,0,0,1,0,0,0
16635,2020,3/17/2020,First Federal Bank & Trust,1,1,1,0,1,0,1,0,0
16636,2020,3/17/2020,"Tandem Diabetes Care, Inc.",99,1,1,0,0,0,1,0,0
16637,2020,3/17/2020,The Nature Conservancy,1,1,1,1,0,0,1,0,0
16638,2020,3/17/2020,"Mark Nichols, CPA",466,1,1,0,1,1,1,0,0
16639,2020,3/17/2020,TRP Sumner PLLC,4,1,1,0,0,0,1,0,0
16640,2020,3/17/2020,"Wells Fargo Bank, N.A.",15,1,0,0,1,1,1,0,0
16641,2020,3/17/2020,Town of Houlton Police Department,4,1,1,1,1,0,1,0,0
16642,2020,3/17/2020,St. Marys Credit Union,1,0,0,0,0,1,0,0,0
16653,2020,3/18/2020,"Robert Silman Associates Structural Engineers, D.P.C.",1,1,0,0,0,1,1,0,0
16654,2020,3/18/2020,Banfi Products Corporation,39,1,1,1,0,0,1,0,0
16655,2020,3/18/2020,The Village Bank,2,0,0,0,0,1,0,0,0
16651,2020,3/18/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
